CLIENTNUM,Cluster_ID
768805383,1
818770008,1
713982108,2
769911858,1
709106358,2
713061558,1
810347208,1
818906208,1
710930508,1
719661558,1
708790833,1
710821833,1
710599683,2
816082233,1
712396908,1
714885258,1
709967358,1
753327333,1
806160108,1
709327383,1
806165208,1
708508758,1
784725333,1
811604133,1
789124683,2
771071958,1
720466383,1
804424383,1
718813833,2
806624208,1
778348233,1
712991808,1
709029408,1
788658483,1
787937058,1
715318008,1
713962233,1
785432733,2
715190283,1
708300483,1
827111283,1
758551608,1
773146383,1
778493808,2
720572508,1
712661433,2
789172683,1
738406533,1
799723908,1
771490833,1
720756708,1
779471883,1
711525033,1
712813458,1
714374133,1
717891558,1
716632758,1
768563658,1
711427458,1
714091983,1
787584108,1
712030833,1
711481533,1
710082708,1
708155733,1
788979258,1
807986133,1
788730933,1
711314058,1
717975333,1
715971108,1
720096558,1
719580033,1
820582308,1
789973308,1
712876233,1
804595158,1
714826758,1
779058108,1
710790258,1
715623483,1
715156383,1
711013983,1
755420433,1
794543958,1
716396358,1
715398033,1
711743883,2
719720058,1
778992108,2
717539808,2
714070758,1
714107958,2
789140283,1
715550508,1
719712633,1
772629333,1
720336708,1
802013583,1
711887583,1
714778833,1
713843283,1
779155158,1
721091583,1
713572683,2
716657058,1
779509983,1
717929133,1
808284783,2
708476808,1
710916408,1
708492558,1
799825758,1
718619883,1
711844758,1
714798783,1
826762908,1
771894558,1
721074183,1
715259583,1
718414008,1
719666283,1
714877233,1
785387883,1
771075258,1
711318033,2
783554958,2
720201033,1
718039683,1
710806083,1
714752208,1
822063408,1
714490308,1
713356833,1
711402333,1
708296883,1
719154483,1
717721458,1
711112683,1
715674483,1
789322833,1
789968058,1
709919283,1
718744008,1
767712558,1
712950783,2
716104983,1
818839983,1
772288758,1
712350858,1
711009708,2
712720158,1
712215258,2
773827008,1
795232683,1
713786508,2
713539833,2
712454058,1
718759833,2
718803333,1
720253908,1
714133158,1
713187033,1
714791208,1
772426383,1
710975883,1
714264408,1
715827858,1
713741358,1
709531908,2
716493408,1
714141108,1
708953883,2
712608783,1
820353558,1
714964758,1
716264358,1
717296808,1
712977183,1
710829108,1
779562633,1
715315833,1
815500983,1
719360583,1
709701558,1
721148358,2
779862408,1
812627208,1
711033408,1
779956608,2
780376683,1
717912483,2
714454758,1
780466533,1
715735233,1
720476733,1
715872333,1
712375758,1
708868233,1
718030083,1
720707283,1
771698658,1
748326258,1
770817783,1
779353083,1
711441333,1
719808558,2
711551958,2
809164083,1
820596183,1
715999608,1
710565408,1
805543158,1
709752183,1
716479233,1
713837058,1
718876683,1
770746908,1
794843883,1
803043933,1
758076408,1
714606558,1
778425408,1
714171108,1
719662458,1
713137233,1
769425858,2
711297483,1
788900883,1
758348808,1
772336458,1
708711483,1
717906783,1
719437908,1
769433508,1
790096533,1
720997383,1
787541883,2
709930758,1
789830058,1
710299608,1
710741208,1
821797008,2
708874533,1
715341858,1
793636308,1
713779908,1
712125258,2
709703433,1
721022433,1
710103558,1
715952883,1
719731458,1
772390908,1
787348608,1
709485033,1
715432608,1
799471833,1
714187533,1
779656908,1
788950158,1
778867533,2
710620383,1
778661358,1
789483333,1
809855808,1
718464258,1
708528483,1
771809733,2
719942883,1
807226683,1
717806133,2
720615708,2
714511758,1
715050408,1
721132233,1
719211558,2
712069008,1
715996983,1
773466258,1
798983508,1
719117433,1
716451183,1
718621608,2
715085733,1
788977833,1
720272958,2
708421833,1
709173108,1
709879458,1
715120608,1
770632758,1
779078733,1
771742533,1
720250158,1
716458983,1
713747733,1
712270158,1
789562383,1
754897008,1
819700533,1
712890408,1
720248208,1
779749908,1
717401883,1
721509558,1
710572458,2
714576183,1
721425558,2
711109908,1
715203108,1
710027508,1
787464408,2
783542133,1
708330858,1
714426783,1
712701333,1
709494483,1
773373108,1
715812258,1
778286433,1
789270033,2
711569433,1
720214833,1
709346133,1
788194458,1
720779733,1
717424458,1
708820308,1
710558058,1
770590758,1
718490658,1
711985833,1
708967608,1
718505958,1
715024233,1
779249583,1
709278258,1
778928283,1
712299858,1
799224108,1
809976033,1
716203308,1
714871683,1
